customer_id,name,email,country,age,signup_date,marketing_opt_in,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,customer_segment,avg_order_value
1,Jennifer Salinas,nicholas59@example.org,JP,71,2020-09-04,True,129.0,2.0,115.39,5.0,2.0,2.0,522,New buyers,57.69499999999999
2,Phillip Ramos,christinarubio@example.com,IN,26,2020-04-05,False,303.0,2.0,68.52000000000001,4.0,2.0,1.0,421,New buyers,34.260000000000005
3,Dawn Fowler,jessica03@example.org,BR,21,2023-08-31,True,1946.0,1.0,66.72,1.0,1.0,1.0,111,At-risk customers,66.72
4,Mario Butler,paula27@example.org,FR,63,2022-06-30,True,823.0,2.0,279.86,3.0,2.0,4.0,324,High-value loyal customers,139.93
5,Amber Brown,kevin85@example.net,BR,19,2022-07-22,True,275.0,3.0,271.29,4.0,4.0,4.0,444,High-value loyal customers,90.43
6,Kevin Chapman,michaelpoole@example.org,US,28,2020-10-21,False,339.0,4.0,387.4,4.0,5.0,4.0,454,High-value loyal customers,96.85
7,Timothy Sanchez,shannonbrown@example.org,IN,48,2025-07-24,False,1147.0,2.0,96.81,2.0,2.0,2.0,222,At-risk customers,48.405
8,Rachael Morales,tammy08@example.com,GB,33,2022-10-09,True,1911.0,1.0,207.4,1.0,1.0,3.0,113,At-risk customers,207.4
9,Laura Guzman,awright@example.org,US,32,2024-07-29,True,529.0,1.0,122.51,3.0,1.0,2.0,312,High-value loyal customers,122.51
10,Alexander Lopez,brianmaxwell@example.org,JP,39,2023-01-13,True,944.0,3.0,398.85,2.0,4.0,4.0,244,At-risk customers,132.95000000000002
12,Margaret Li,williambrown@example.net,US,70,2021-05-16,False,454.0,2.0,484.25,4.0,2.0,5.0,425,New buyers,242.125
14,Matthew Thompson,greendawn@example.org,SG,28,2021-01-13,True,4.0,3.0,380.89,5.0,4.0,4.0,544,High-value loyal customers,126.96333333333332
15,Paul Neal,jennifer48@example.net,AU,52,2020-06-14,True,1277.0,2.0,40.06,2.0,2.0,1.0,221,At-risk customers,20.03
16,Richard Mills,kenneth31@example.net,JP,51,2023-06-20,False,557.0,1.0,285.4,3.0,1.0,4.0,314,High-value loyal customers,285.4
17,David Young,shirleyreese@example.com,US,31,2025-05-15,True,600.0,3.0,791.85,3.0,4.0,5.0,345,Price-sensitive users,263.95
18,James Burke,osolomon@example.net,IN,45,2020-02-12,False,381.0,4.0,805.64,4.0,5.0,5.0,455,High-value loyal customers,201.41
19,Dr. Kimberly Kennedy,mathewssamuel@example.net,AU,57,2021-07-01,False,1640.0,3.0,265.32,1.0,4.0,4.0,144,At-risk customers,88.44
20,Stephen Mccormick,edean@example.net,AE,33,2022-06-02,True,161.0,4.0,499.73,5.0,5.0,5.0,555,High-value loyal customers,124.9325
22,Amanda Taylor,terryjillian@example.org,AU,59,2022-03-17,False,1888.0,1.0,169.83,1.0,1.0,3.0,113,At-risk customers,169.83
23,Pamela Gonzalez,hobbskatelyn@example.net,US,22,2025-01-10,False,885.0,1.0,57.19,2.0,1.0,1.0,211,High-value loyal customers,57.19
25,Paul Chen,ggarcia@example.net,US,41,2024-07-22,True,224.0,2.0,318.95,4.0,2.0,4.0,424,New buyers,159.475
26,Francis Coleman,bellsarah@example.org,US,49,2024-09-27,False,908.0,1.0,5.93,2.0,1.0,1.0,211,High-value loyal customers,5.93
27,Isabel Flores,nyork@example.net,IN,35,2024-05-04,False,684.0,2.0,75.13,3.0,2.0,2.0,322,High-value loyal customers,37.565
28,Jason Graham,reedjanet@example.net,US,24,2023-10-30,True,1893.0,1.0,44.21,1.0,1.0,1.0,111,At-risk customers,44.21
29,Michelle Carey,george08@example.org,FR,62,2023-05-11,True,1843.0,1.0,16.8,1.0,1.0,1.0,111,At-risk customers,16.8
30,Paul Brown,travis72@example.com,MX,47,2020-10-21,True,259.0,2.0,369.64,4.0,2.0,4.0,424,New buyers,184.82
31,Tina Robertson,justinlewis@example.net,US,71,2021-10-02,False,79.0,2.0,296.48,5.0,2.0,4.0,524,New buyers,148.24
